athletes,laterality,age,date,position,0-10y,0-30y,10-30y,Body Fat %,Body Weight (lbs),Concentric Impulse,Concentric Impulse-100ms,Concentric Mean Power / BM,Eccentric Mean Power / BM,Estimated 1RM,Fil Speed,Height (in),Lateral Assymetry %,Left Hamstring Strength,Relative Strength,Right Hamstring Strength,RSI-modified,Vertical Velocity at Takeoff,VO2max
athlete 21,R,22.8,3/25/2021,Center Field,1.463666667,3.446666667,1.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 33,R,25.7,3/25/2021,Center Field,1.449666667,3.467333333,2.017666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 7,R,23.2,8/9/2018,Center Field,1.493,3.559666667,2.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 7,R,23.2,7/10/2018,Center Field,1.552666667,3.575666667,2.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 7,R,22.3,8/15/2017,Center Field,1.539,3.5805,2.0415,0,0,0,0,0,0,0,0,0,9,417,0,458.25,0,0,0
athlete 32,R,21.7,7/26/2019,Striker,1.46,3.585666667,2.125666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 32,R,19.7,8/20/2017,Striker,1.528666667,3.587,2.058333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 7,R,23.1,6/2/2018,Center Field,1.51525,3.58925,2.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 2,R,21.4,8/20/2017,Defender,1.53,3.598,2.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 32,R,21.7,8/8/2019,Striker,1.4695,3.6175,2.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 32,R,21.5,5/31/2019,Striker,1.521,3.619,2.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 32,R,20.4,4/13/2018,Striker,1.553333333,3.629666667,2.076333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 2,R,23.3,7/1/2019,Defender,1.5505,3.6305,2.08,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 6,R,24.9,10/27/2020,Center Field,1.548,3.643,2.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 32,R,21.6,7/1/2019,Striker,1.505666667,3.653333333,2.147666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 6,R,23.6,7/26/2019,Center Field,1.564,3.659,2.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 2,R,22.3,7/5/2018,Defender,1.562333333,3.660333333,2.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 39,R,22.2,6/8/2019,Striker,1.5065,3.6645,2.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 32,R,21.4,5/3/2019,Striker,1.54,3.667666667,2.127666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 3,R,25.9,8/6/2019,Defender,1.5635,3.671,2.1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 37,R,25.7,3/26/2021,Defender,1.566,3.675,2.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 39,R,22.4,7/26/2019,Striker,1.529,3.6805,2.1515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 39,R,21.4,8/9/2018,Striker,1.5455,3.6815,2.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 37,R,23.7,3/26/2019,Defender,1.5565,3.6915,2.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 2,R,23,3/26/2019,Defender,1.5945,3.6955,2.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 1,R,20.8,2/6/2018,Defender,1.5135,3.705,2.1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 3,R,27.6,3/26/2021,Defender,1.522,3.709,2.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 7,R,25.9,3/25/2021,Center Field,1.570333333,3.713333333,2.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 7,R,23.9,4/24/2019,Center Field,1.614,3.7135,2.0995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 39,R,21.3,7/6/2018,Striker,1.6915,3.716,2.0245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 36,R,25.1,7/3/2018,Goalkeeper,1.594,3.716,2.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 3,R,24.9,7/5/2018,Defender,1.536333333,3.717,2.180666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 28,R,22.9,8/16/2018,Defender,1.632666667,3.717666667,2.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 32,R,20.5,5/12/2018,Striker,1.572666667,3.719,2.146333333,0,197.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 39,R,22,3/16/2019,Striker,1.548,3.719,2.171,0,0,245.7699666,148.5842713,39.5442,7.923486865,0,0,0,0,0,0,0,74.88841238,3.077281934,0
athlete 37,R,24,7/26/2019,Defender,1.559333333,3.720333333,2.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 3,R,25.8,7/1/2019,Defender,1.544,3.724,2.18,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 10,R,23.8,7/1/2019,Defender,1.551666667,3.727666667,2.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 30,L,25.2,8/6/2019,Defender,1.5605,3.731,2.1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 20,R,23.1,3/26/2019,Defender,1.5655,3.7365,2.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 6,R,23.7,8/8/2019,Center Field,1.6235,3.7385,2.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 7,R,22,5/25/2017,Center Field,1.596333333,3.741666667,2.145333333,0,0,0,0,0,0,0,0,0,13.21,314.44,0,362.31,0,0,0
athlete 3,R,25,8/9/2018,Defender,1.554,3.741666667,2.187666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 20,R,23.3,6/20/2019,Defender,1.641333333,3.744,2.102666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 20,R,21.2,5/25/2017,Defender,1.549666667,3.744666667,2.195,0,0,0,0,0,0,0,0,0,2.4,355.5,0,364.25,0,0,0
athlete 25,R,19,5/28/2019,Striker,1.550333333,3.746333333,2.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 32,R,20.6,7/3/2018,Striker,1.619,3.748,2.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 34,R,18.1,2/6/2018,Defender,1.560333333,3.752333333,2.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 30,L,26.9,3/26/2021,Defender,1.623,3.7555,2.1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 7,R,24.1,6/20/2019,Center Field,1.593,3.756,2.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 6,R,22.6,7/20/2018,Center Field,1.604,3.761,2.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 25,R,19.2,7/24/2019,Striker,1.606,3.762666667,2.156666667,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 10,R,23.9,7/26/2019,Defender,1.598,3.764,2.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 32,R,21.3,3/16/2019,Striker,1.555,3.764,2.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 15,R,22.9,7/26/2019,Defender,1.564666667,3.765333333,2.200666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 2,R,22,3/15/2018,Defender,1.651,3.765666667,2.114666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 23,R,23.6,5/28/2019,Striker,1.542666667,3.765666667,2.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 35,R,22,8/16/2018,Defender,1.680333333,3.767,2.086666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 7,R,21.8,3/10/2017,Center Field,1.61,3.7695,2.1595,0,0,0,0,0,0,0,0,0,3.97,426.92,0,444.58,0,0,0
athlete 25,R,17.9,4/10/2018,Striker,1.633333333,3.774666667,2.141333333,0,160,0,0,0,0,0,0,66.3,0,0,0,0,0,0,0
athlete 8,R,26.6,3/25/2021,Striker,1.595666667,3.774666667,2.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 20,R,23.4,8/6/2019,Defender,1.619,3.776,2.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 3,R,24,8/15/2017,Defender,1.548333333,3.779666667,2.231333333,0,0,0,0,0,0,0,0,0,9.08,479.92,0,527.83,0,0,0
athlete 28,R,23.7,6/20/2019,Defender,1.645,3.781,2.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 10,R,22.8,7/6/2018,Defender,1.6125,3.783,2.1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 28,R,22.7,6/15/2018,Defender,1.621,3.792,2.171,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 6,R,23.5,5/31/2019,Center Field,1.683,3.793,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 26,L,23.4,3/26/2019,Defender,1.637,3.7935,2.1565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 10,R,23.9,8/8/2019,Defender,1.586,3.7945,2.2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 6,R,23.3,3/16/2019,Center Field,1.627,3.7955,2.1685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 25,R,21,6/10/2021,Striker,1.633333333,3.795666667,2.162333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 2,R,23.4,8/6/2019,Defender,1.672,3.7985,2.1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 20,R,21.5,8/24/2017,Defender,1.680333333,3.803666667,2.123333333,0,0,0,0,0,0,0,0,0,-5.92,342.25,0,322,0,0,0
athlete 10,R,25.6,3/26/2021,Defender,1.624,3.804,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 37,R,23,7/17/2018,Defender,1.609,3.806,2.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 15,R,23,8/8/2019,Defender,1.5715,3.8065,2.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 28,R,21.5,4/8/2017,Defender,1.603,3.810666667,2.207666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 32,R,20.3,3/13/2018,Striker,1.666666667,3.811,2.144333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 23,R,22.8,8/16/2018,Striker,1.625666667,3.811333333,2.185666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 37,R,22.8,5/8/2018,Defender,1.607,3.817666667,2.210666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 8,R,24.7,4/12/2019,Striker,1.5685,3.82,2.2515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 34,R,18.4,5/22/2018,Defender,1.671,3.8215,2.1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 1,R,21.2,7/3/2018,Defender,1.61,3.823666667,2.213666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 1,R,21.2,7/6/2018,Defender,1.5765,3.824,2.2475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 23,R,21.8,8/20/2017,Striker,1.644333333,3.825333333,2.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 38,R,21.9,7/26/2019,Defender,1.584333333,3.828333333,2.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 1,R,21.3,7/20/2018,Defender,1.6145,3.8305,2.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 26,L,22.6,7/3/2018,Defender,1.644,3.831,2.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 37,R,22.8,5/28/2018,Defender,1.655333333,3.831333333,2.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 25,R,17.9,5/8/2018,Striker,1.633,3.832,2.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 32,R,20.5,6/15/2018,Striker,1.668,3.832666667,2.164666667,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 37,R,22.9,6/26/2018,Defender,1.635,3.832666667,2.197666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 34,R,18.6,7/20/2018,Defender,1.65,3.839,2.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 20,R,21,3/8/2017,Defender,1.631666667,3.840666667,2.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 39,R,22.1,4/18/2019,Striker,1.689666667,3.843666667,2.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 17,R,24.9,3/26/2021,Defender,1.5885,3.844,2.2555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 25,R,18.9,4/18/2019,Striker,1.652333333,3.846666667,2.194333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 10,R,22.9,8/9/2018,Defender,1.637,3.851,2.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 1,R,21.1,5/22/2018,Defender,1.674,3.857,2.183,0,0,0,0,0,0,0,0,0,15.96,279,0,332,0,0,0
athlete 23,R,22.7,7/10/2018,Striker,1.660333333,3.858333333,2.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 17,R,21.3,8/20/2017,Defender,1.6234,3.8646,2.2412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 25,R,18.1,6/26/2018,Striker,1.631666667,3.865,2.233333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 22,R,26.6,3/26/2021,Defender,1.6,3.866,2.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 10,R,23.6,3/28/2019,Defender,1.651,3.8695,2.2185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 28,R,22.5,3/15/2018,Defender,1.655,3.871666667,2.216666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 34,R,18.5,6/15/2018,Defender,1.6365,3.872,2.2355,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 30,L,23.3,8/15/2017,Defender,1.645333333,3.876666667,2.231333333,0,0,0,0,0,0,0,0,0,-0.0031,353.33,0,352.25,0,0,0
athlete 27,R,23.5,8/8/2019,Goalkeeper,1.5555,3.877,2.3215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 30,L,25.1,7/1/2019,Defender,1.6845,3.878,2.1935,0,180.6,0,0,0,0,0,0,0,1.271186441,466,0,472,0,0,0
athlete 15,R,22.6,3/26/2019,Defender,1.6265,3.879,2.2525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 5,R,22.8,7/26/2019,Defender,1.5905,3.8795,2.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 3,R,25.6,3/24/2019,Defender,1.5585,3.882,2.3235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 4,R,22.6,3/26/2021,Defender,1.6275,3.8825,2.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 8,R,23.8,5/14/2018,Striker,1.6775,3.883,2.2055,0,191.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 1,R,21.9,3/24/2019,Defender,1.66,3.884,2.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 8,R,23.8,6/11/2018,Striker,1.672666667,3.886666667,2.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 20,R,22.5,8/16/2018,Defender,1.738333333,3.894333333,2.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 27,R,23.4,7/26/2019,Goalkeeper,1.603,3.8975,2.2945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 25,R,17.8,3/15/2018,Striker,1.688,3.899333333,2.211333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 35,R,21.6,3/15/2018,Defender,1.756,3.899666667,2.143666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 3,R,23.6,4/7/2017,Defender,1.587,3.905,2.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 26,L,22.7,7/20/2018,Defender,1.741333333,3.905333333,2.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 35,R,21.9,7/20/2018,Defender,1.689333333,3.906333333,2.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 38,R,21.6,4/27/2019,Defender,1.751,3.9085,2.1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 3,R,23.7,5/25/2017,Defender,1.646666667,3.91,2.263333333,0,0,0,0,0,0,0,0,0,4.53,500.67,0,524.42,0,0,0
athlete 35,R,24.6,3/26/2021,Defender,1.719,3.9125,2.1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 1,R,20,4/8/2017,Defender,1.641,3.914,2.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 27,R,25.1,3/25/2021,Goalkeeper,1.634333333,3.915,2.280666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 1,R,20.2,6/13/2017,Defender,1.685,3.918,2.233,0,0,0,0,0,0,0,0,0,13.35,286.08,0,330.17,0,0,0
athlete 24,R,23.2,8/20/2017,Defender,1.628333333,3.920333333,2.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 27,R,23.2,5/3/2019,Goalkeeper,1.636333333,3.921333333,2.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 4,R,20.9,7/10/2019,Defender,1.5935,3.924,2.3305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 38,R,19.5,3/8/2017,Defender,1.676666667,3.925,2.248333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 27,R,23.3,5/31/2019,Goalkeeper,1.639,3.926,2.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 5,R,22.8,8/8/2019,Defender,1.5755,3.926,2.3505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 15,R,22,8/9/2018,Defender,1.6595,3.9265,2.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 26,L,22.6,6/15/2018,Defender,1.749666667,3.928666667,2.179,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 11,R,23.8,8/9/2017,Defender,1.412333333,3.930333333,2.518,0,0,0,0,0,0,0,0,0,4.85,346.83,0,364.5,0,0,0
athlete 11,R,23.9,9/8/2017,Defender,1.412333333,3.930333333,2.518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 12,R,24,3/27/2019,Defender,1.6645,3.9345,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 27,R,22.2,5/12/2018,Goalkeeper,1.642333333,3.935666667,2.293333333,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 25,R,18.2,8/22/2018,Striker,1.649666667,3.936333333,2.286666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 27,R,23.4,7/1/2019,Goalkeeper,1.621333333,3.936333333,2.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 1,R,19.9,3/8/2017,Defender,1.675,3.9365,2.2615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 1,R,20.3,8/3/2017,Defender,1.675,3.9365,2.2615,0,0,0,0,0,0,0,0,0,19.05,293.5,0,362.58,0,0,0
athlete 15,R,24.6,3/26/2021,Defender,1.692,3.945,2.253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 8,R,22.6,3/10/2017,Striker,1.672333333,3.954,2.281666667,9.68,196.5,0,0,0,0,0,0,69.75,13.35,346.83,0,400.25,0,0,0
athlete 5,R,21.7,7/6/2018,Defender,1.65,3.9555,2.3055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 38,R,19.7,5/25/2017,Defender,1.68,3.965666667,2.285666667,0,0,0,0,0,0,0,0,0,-3.84,464.83,0,447,0,0,0
athlete 8,R,25,8/1/2019,Striker,1.6475,3.967,2.3195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 23,R,22.6,6/2/2018,Striker,1.70425,3.96775,2.2635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 5,R,21.7,6/26/2018,Defender,1.6465,3.968,2.3215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 20,R,22,3/15/2018,Defender,1.728666667,3.970333333,2.241666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 1,R,20.9,3/15/2018,Defender,1.761,3.971333333,2.210333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 25,R,18.2,7/26/2018,Striker,1.653666667,3.973,2.319333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 26,L,22.3,3/15/2018,Defender,1.7915,3.9755,2.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 35,R,22.7,5/3/2019,Defender,1.81,3.976,2.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 12,R,23.4,8/9/2018,Defender,1.6895,3.9805,2.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 8,R,22.8,5/25/2017,Striker,1.696,3.983,2.287,0,0,0,0,0,0,0,0,0,0.92,314.5,0,317.42,0,0,0
athlete 15,R,21.9,7/6/2018,Defender,1.7605,3.9845,2.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 23,R,23.5,4/24/2019,Striker,1.6915,3.9895,2.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 34,R,18.2,3/15/2018,Defender,1.734333333,3.993,2.258666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 11,R,24.4,3/15/2018,Defender,1.731,3.994,2.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 18,R,25,3/15/2018,Defender,1.793666667,4.004,2.210333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 3,R,24.6,3/15/2018,Defender,1.744666667,4.011,2.266333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 5,R,21.8,8/9/2018,Defender,1.663,4.015,2.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 16,R,26.7,3/25/2021,Striker,1.694333333,4.023666667,2.329333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 27,R,22.4,7/3/2018,Goalkeeper,1.703,4.03,2.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 18,R,24.3,6/6/2017,Defender,1.617,4.03,2.413,0,0,0,0,0,0,0,0,0,9.34,237,0,261.42,0,0,0
athlete 24,R,25.1,8/6/2019,Defender,1.764,4.0305,2.2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 23,R,23.4,3/16/2019,Striker,1.689,4.0305,2.3415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 38,R,20.5,3/15/2018,Defender,1.801,4.034,2.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 24,R,24.2,8/16/2018,Defender,1.830333333,4.037,2.206666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 8,R,23,8/24/2017,Striker,1.716666667,4.037,2.320333333,0,0,0,0,0,0,0,0,0,6.39,340.33,0,363.58,0,0,0
athlete 27,R,22.4,7/20/2018,Goalkeeper,1.714,4.039,2.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 4,R,21,8/16/2019,Defender,1.7165,4.0495,2.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 24,R,24.1,7/10/2018,Defender,1.858333333,4.051666667,2.193333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 8,R,23.6,3/10/2018,Striker,1.747333333,4.072666667,2.325333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 8,R,24.8,6/17/2019,Striker,1.749,4.073,2.324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 11,R,23.4,3/8/2017,Defender,1.924333333,4.077333333,2.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 27,R,22.3,6/15/2018,Goalkeeper,1.750333333,4.078333333,2.328,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 27,R,21.5,8/20/2017,Goalkeeper,1.691666667,4.079666667,2.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 27,R,22.1,3/11/2018,Goalkeeper,1.688,4.0825,2.3945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 23,R,22.3,3/12/2018,Striker,1.733666667,4.095,2.361333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 9,R,25.9,4/23/2021,Defender,1.694666667,4.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 24,R,26.9,4/23/2021,Defender,1.640333333,4.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 12,R,26.1,4/23/2021,Defender,1.613666667,4.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 22,R,26.7,4/23/2021,Defender,1.589333333,4.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 4,R,22.7,4/23/2021,Defender,1.585,4.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 26,L,25.4,4/23/2021,Defender,1.577333333,4.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 11,R,27.5,4/23/2021,Defender,1.572333333,4.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 9,R,23,5/22/2018,Defender,1.75225,4.11725,2.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 31,R,23.7,5/31/2019,Goalkeeper,1.741,4.121,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 9,R,23.8,3/26/2019,Defender,1.676,4.125,2.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 31,R,23.8,6/20/2019,Goalkeeper,1.747666667,4.136666667,2.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athlete 31,R,23.6,5/3/2019,Goalkeeper,1.717666667,4.137333333,2.419666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
